domain,symptoms,coverage,age,model,brand,result,month
Washer,my WASHER PORTION NOT DRAINING,IW,6,11015862400,KENMORE,1,3
Washer,CYCLE,SP,82,NFW7200TW,KENMORE,0,11
Dish,cleaning,CC,35,11029822800,KENMORE,1,5
Refrigeration,no ice made,IW,20,NFW7300WW00,KENMORE,0,9
Cooking,information on model,SP,71,62538350,KENMORE ELIT,0,3
LawnGarden,not starting,CC,79,253.5628240N,CRAFTSMAN,0,5
Washer,cleaning,IW,26,72185033010,KENMORE,0,10
Refrigeration,door bin broke,SP,90,41781102000,KENMORE,1,3
Washer,dd,CC,25,402DMT800RHB,CRAFTSMAN,0,4
Refrigeration,ICE IN FREEZER,IW,5,11045992400,WHIRLPOOL,0,11
Refrigeration,not cooling,SP,39,PN51D550C1FXZA,SAMSUNG,1,11
Dish,adj,CC,61,917377361,CRAFTSMAN,1,8
Cooking,not working,IW,96,S3700G1WW,MAYTAG,1,4
Washer,recall on so 41109616 will not run,SP,93,83123943,KITCHENAID,0,1
Dish,noise,CC,19,79031073110,KENMORE,0,1
Cooking,NOT HEATING ENOUGH,IW,57,41744052400,KENMORE ELIT,1,8
LawnGarden,runs rough,SP,49,11027612600,MAYTAG,0,6
Dryer,burning odor,CC,28,13262,DYSON,0,9
Refrigeration,BIN,IW,60,KDL46EX720,KENMORE,0,5
Dryer,af,SP,2,MDC4809AWB0,KENMORE,0,11
Cooking,smell,CC,92,253.240924,FRIGIDAIRE,0,7
Washer,cleaning,IW,42,HAV4657EWW,KENMORE,0,11
Cooking,door is dirty,SP,100,.,KENMORE,1,5
Refrigeration,NDCS/inside liner cracked,CC,33,WED6600VW0,KENMORE,0,12
Refrigeration,shelf,IW,87,NA,KITCHENAID,0,3
Washer,suds,SP,25,22130,CRAFTSMAN,0,11
Washer,soap left in clothes,CC,44,72185032010,KENMORE,0,7
Electronics,not ejecting,IW,50,795DLE2101W,Samsung,1,2
Washer,clothes,SP,43,none,KENMOREELIT,1,5
Dryer,error code cl,CC,81,KBFS25EWMS,KENMORE ELIT,0,11
Washer,cl,IW,33,158-19142,KENMORE ELIT,0,7
Refrigeration,not producing ice,SP,64,79072333010,KITCHENAID,1,4
Washer,not agitating,CC,58,59665232401,KENMORE,0,2
Refrigeration,no water or ice,IW,24,79551026012,KENMORE ELIT,1,8
Dryer,lint screen,SP,15,DU1345XTVQ4,KENMORE,1,10
Refrigeration,door,CC,28,58715262900,KENMORE,0,2
Refrigeration,Bin,IW,6,2213293K112,KENMORE,0,11
Dryer,vent hose,SP,71,WFW9550WL00,KENMORE,0,9
Washer,not fiiling,CC,59,66513969K010,KENMORE,0,11
Washer,Not aggitating,IW,78,13212,PANASONIC,1,12
Dryer,info,SP,66,FEX831CS0,GE,0,6
